Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
North America,NAC,"Population, female",SP.POP.TOTL.FE.IN,179868576,181064568,182150872,183148609,183987879,184390273,185752511,187780994,190049024,191053277
North America,NAC,"Population, male",SP.POP.TOTL.MA.IN,180659016,182152694,183515156,184760220,185682861,186013999,187265493,189173419,191415199,192453910
North America,NAC,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.03920933,11.64855425,11.44736689,11.24609865,10.75559271,10.86530341,10.79074933,10.4975078,..,10.38115914
North America,NAC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.383546381,8.533570992,8.578848541,8.584833689,10.04650467,10.17259011,9.674564546,9.082972695,..,8.815645658
North Macedonia,MKD,Rural population (% of total population),SP.RUR.TOTL.ZS,40.6176929,40.25622806,39.8419684,39.37131519,38.84066973,38.31580244,38.04694334,37.74816775,37.43546231,37.10901422
North Macedonia,MKD,Urban population,SP.URB.TOTL,1132013,1134329,1136416,1137553,1135193,1133209,1134802,1137849,1141402,1141447
North Macedonia,MKD,"Population, female",SP.POP.TOTL.FE.IN,972195,969538,965958,960785,952111,943403,940844,938871,936853,931758
North Macedonia,MKD,"Population, male",SP.POP.TOTL.MA.IN,934118,929119,923093,915477,904013,893711,890868,888945,887506,883203
North Macedonia,MKD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.09872665,10.5,10.3,9.6,9.2,10.2,9.9,9.2,..,8.994
North Macedonia,MKD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.853364793,9.8,9.5,9.8,12.4,15.5,12.3,11,..,11.079
Northern Mariana Islands,MNP,Rural population (% of total population),SP.RUR.TOTL.ZS,8.600995215,8.52797841,8.455549384,8.383714787,8.309163264,8.21578627,8.121421135,8.024588711,7.925273908,7.823461636
Northern Mariana Islands,MNP,Urban population,SP.URB.TOTL,46406,45699,44927,44094,43579,43119,42336,41520,40769,40135
Northern Mariana Islands,MNP,"Population, female",SP.POP.TOTL.FE.IN,24264,23828,23360,22858,22541,22262,21812,21345,20899,20507
Northern Mariana Islands,MNP,"Population, male",SP.POP.TOTL.MA.IN,26509,26131,25717,25271,24987,24717,24266,23798,23379,23034
Northern Mariana Islands,MNP,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,18.374,17.324,16.559,16.029,15.487,14.824,13.807,12.918,..,11.44
Northern Mariana Islands,MNP,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.9,4.016,4.133,4.142,4.146,4.381,4.505,4.704,..,5.249
